field,unit,reported_value,measurement_1,measurement_2,adopted_value,date,clothing,endpoints_notes
height,mm,,,,,,,
shoulder_width,mm,,,,,,,
chest_width,mm,,,,,,,
chest_depth,mm,,,,,,,
abdomen_width,mm,,,,,,,
abdomen_depth,mm,,,,,,,
torso_length,mm,,,,,,,
hip_width,mm,,,,,,,
hip_depth,mm,,,,,,,
head_width,mm,,,,,,,
head_depth,mm,,,,,,,
head_height,mm,,,,,,,
upperarm_length_l,mm,,,,,,,
upperarm_length_r,mm,,,,,,,
upperarm_circumference_l,mm,,,,,,,
upperarm_circumference_r,mm,,,,,,,
forearm_length_l,mm,,,,,,,
forearm_length_r,mm,,,,,,,
forearm_circumference_l,mm,,,,,,,
forearm_circumference_r,mm,,,,,,,
thigh_length_l,mm,,,,,,,
thigh_length_r,mm,,,,,,,
thigh_circumference_l,mm,,,,,,,
thigh_circumference_r,mm,,,,,,,
shin_length_l,mm,,,,,,,
shin_length_r,mm,,,,,,,
calf_circumference_l,mm,,,,,,,
calf_circumference_r,mm,,,,,,,
boot_width_l,mm,,,,,,,
boot_width_r,mm,,,,,,,
boot_length_l,mm,,,,,,,
boot_length_r,mm,,,,,,,
